Compound Sentiment Score,sentiment change,date
0.5916,0.0,2013-03-11
0.5106,-0.08099999999999996,2013-03-12
0.4926,-0.01800000000000007,2013-03-13
0.3384,-0.1542,2013-03-14
0.61435,0.27595,2013-03-15
0.4404,-0.17394999999999994,2013-03-16
0.7227,0.2823,2013-03-17
0.5119,-0.2108,2013-03-18
0.8875,0.37559999999999993,2013-03-19
0.4033,-0.48419999999999996,2013-03-20
0.28865,-0.11464999999999997,2013-03-21
0.4913,0.20265,2013-03-22
-0.04029999999999995,-0.5316,2013-03-23
-0.5719,-0.5316000000000001,2013-03-24
0.4696,1.0415,2013-03-25
0.6873,0.2177,2013-03-26
0.4404,-0.2469,2013-03-27
0.0,-0.4404,2013-03-28
0.0556,0.0556,2013-03-29
0.366625,0.311025,2013-03-30
0.67765,0.311025,2013-03-31
0.40090000000000003,-0.27674999999999994,2013-04-01
0.447375,0.04647499999999999,2013-04-02
0.49385,0.04647499999999999,2013-04-03
0.4834,-0.010450000000000015,2013-04-04
0.56315,0.07975000000000004,2013-04-05
0.51425,-0.048900000000000055,2013-04-06
0.4566,-0.05764999999999998,2013-04-07
0.3919,-0.06469999999999998,2013-04-08
0.15175,-0.24015000000000003,2013-04-09
0.6369,0.48515,2013-04-10
0.47065,-0.16625,2013-04-11
0.4998,0.02915000000000001,2013-04-12
0.948,0.44819999999999993,2013-04-13
0.4731,-0.47489999999999993,2013-04-14
0.5423,0.06919999999999998,2013-04-15
0.3612,-0.18109999999999998,2013-04-16
-0.1655,-0.5267000000000001,2013-04-17
0.4763,0.6418,2013-04-18
0.31720000000000004,-0.15909999999999996,2013-04-19
0.29995,-0.017250000000000043,2013-04-20
0.31835,0.018400000000000027,2013-04-21
0.3568,0.038449999999999984,2013-04-22
0.4215,0.06469999999999998,2013-04-23
0.2415,-0.18,2013-04-24
0.13290000000000002,-0.10859999999999997,2013-04-25
0.5198499999999999,0.3869499999999999,2013-04-26
0.16735,-0.3524999999999999,2013-04-27
0.5685,0.40115,2013-04-28
0.4588,-0.10970000000000002,2013-04-29
0.7442,0.2854,2013-04-30
0.45625000000000004,-0.28794999999999993,2013-05-01
0.6935,0.23724999999999996,2013-05-02
0.6249,-0.0686,2013-05-03
0.56465,-0.060250000000000026,2013-05-04
0.4215,-0.14315,2013-05-05
0.5242,0.10270000000000001,2013-05-06
0.6992,0.17500000000000004,2013-05-07
0.3286,-0.37060000000000004,2013-05-08
0.5308,0.20220000000000005,2013-05-09
0.41645,-0.11435000000000006,2013-05-10
0.26495,-0.15149999999999997,2013-05-11
0.4648,0.19984999999999997,2013-05-12
0.0516,-0.4132,2013-05-13
0.3818,0.3302,2013-05-14
0.3612,-0.02059999999999995,2013-05-15
-0.1898,-0.551,2013-05-16
0.2732,0.46299999999999997,2013-05-17
0.6085499999999999,0.3353499999999999,2013-05-18
0.0840749999999999,-0.524475,2013-05-19
-0.4404,-0.5244749999999999,2013-05-20
0.4033,0.8437,2013-05-21
-0.3749,-0.7782,2013-05-22
0.5909,0.9658,2013-05-23
0.3397,-0.2512,2013-05-24
-0.1181,-0.4578,2013-05-25
-0.04615,0.07195,2013-05-26
0.0258,0.07195,2013-05-27
0.4163,0.3905,2013-05-28
0.3703,-0.045999999999999985,2013-05-29
0.4019,0.03159999999999996,2013-05-30
-0.10985,-0.5117499999999999,2013-05-31
0.4927,0.60255,2013-06-01
0.6249,0.13219999999999998,2013-06-02
0.34,-0.2849,2013-06-03
-0.1527,-0.4927,2013-06-04
0.4404,0.5931,2013-06-05
0.3818,-0.05860000000000004,2013-06-06
-0.4019,-0.7837,2013-06-07
-0.2732,0.12869999999999998,2013-06-08
-0.2732,0.0,2013-06-09
0.05907499999999999,0.332275,2013-06-10
0.39135,0.332275,2013-06-11
0.478475,0.08712500000000001,2013-06-12
0.5656,0.08712500000000001,2013-06-13
0.594275,0.028675000000000006,2013-06-14
0.62295,0.028675000000000006,2013-06-15
0.651625,0.028675000000000006,2013-06-16
0.6803,0.028675000000000006,2013-06-17
0.4701,-0.2102,2013-06-18
0.2599,-0.2102,2013-06-19
0.35015,0.09025,2013-06-20
0.4404,0.09025,2013-06-21
0.4588,0.018399999999999972,2013-06-22
0.9201,0.46130000000000004,2013-06-23
0.802,-0.11809999999999998,2013-06-24
-0.34,-1.1420000000000001,2013-06-25
0.4019,0.7419,2013-06-26
0.4098,0.007900000000000018,2013-06-27
0.6355,0.22569999999999996,2013-06-28
0.2263,-0.40919999999999995,2013-06-29
0.5994,0.37310000000000004,2013-06-30
0.4545,-0.14490000000000003,2013-07-01
-0.4334,-0.8879,2013-07-02
0.43245,0.86585,2013-07-03
-0.3612,-0.79365,2013-07-04
-0.06842500000000001,0.292775,2013-07-05
0.22435,0.292775,2013-07-06
0.4588,0.23445,2013-07-07
0.0258,-0.433,2013-07-08
0.1007,0.0749,2013-07-09
0.5859,0.48519999999999996,2013-07-10
0.2732,-0.3127,2013-07-11
0.3182,0.044999999999999984,2013-07-12
0.49202500000000005,0.17382500000000006,2013-07-13
0.66585,0.173825,2013-07-14
0.2003,-0.46555,2013-07-15
0.6651,0.4648,2013-07-16
0.48055000000000003,-0.18455,2013-07-17
0.296,-0.18455000000000005,2013-07-18
0.4576,0.16160000000000002,2013-07-19
0.1779,-0.2797,2013-07-20
0.6124,0.43450000000000005,2013-07-21
0.1775,-0.43490000000000006,2013-07-22
0.32745,0.14995000000000003,2013-07-23
0.4404,0.11295,2013-07-24
-0.3412,-0.7816000000000001,2013-07-25
0.5264,0.8675999999999999,2013-07-26
0.91705,0.39065000000000005,2013-07-27
0.4767,-0.44035,2013-07-28
-0.6133,-1.0899999999999999,2013-07-29
0.28459999999999996,0.8978999999999999,2013-07-30
0.5098499999999999,0.22524999999999995,2013-07-31
0.7351,0.22525000000000006,2013-08-01
0.6942999999999999,-0.04080000000000006,2013-08-02
0.6535,-0.04079999999999995,2013-08-03
0.6127,-0.04079999999999995,2013-08-04
0.5719,-0.04080000000000006,2013-08-05
0.3749,-0.19699999999999995,2013-08-06
0.1779,-0.197,2013-08-07
0.33525,0.15735,2013-08-08
0.4926,0.15735,2013-08-09
0.49065000000000003,-0.0019499999999999518,2013-08-10
-0.2411,-0.73175,2013-08-11
0.022725000000000023,0.26382500000000003,2013-08-12
0.28655,0.263825,2013-08-13
0.5267,0.24014999999999992,2013-08-14
0.9753,0.4486,2013-08-15
-0.128,-1.1033,2013-08-16
0.2556,0.3836,2013-08-17
0.6392,0.3836,2013-08-18
0.74825,0.10904999999999998,2013-08-19
0.29375,-0.45449999999999996,2013-08-20
0.4019,0.10814999999999997,2013-08-21
0.2732,-0.12869999999999998,2013-08-22
-0.008000000000000007,-0.2812,2013-08-23
-0.2892,-0.2812,2013-08-24
-0.5704,-0.2812,2013-08-25
0.3182,0.8886000000000001,2013-08-26
0.4253,0.10710000000000003,2013-08-27
-0.006800000000000028,-0.43210000000000004,2013-08-28
-0.4389,-0.4321,2013-08-29
0.3612,0.8001,2013-08-30
0.4404,0.07919999999999999,2013-08-31
0.663375,0.22297500000000003,2013-09-01
0.88635,0.22297499999999992,2013-09-02
0.48825,-0.39809999999999995,2013-09-03
0.725,0.23674999999999996,2013-09-04
0.5194,-0.2056,2013-09-05
0.64315,0.12375000000000003,2013-09-06
0.7669,0.12375000000000003,2013-09-07
0.665475,-0.10142499999999999,2013-09-08
0.56405,-0.10142499999999999,2013-09-09
0.462625,-0.10142500000000004,2013-09-10
0.3612,-0.10142499999999999,2013-09-11
0.48583333333333334,0.12463333333333332,2013-09-12
0.6104666666666667,0.12463333333333337,2013-09-13
0.7351,0.12463333333333326,2013-09-14
0.61385,-0.12124999999999997,2013-09-15
0.4926,-0.12125000000000002,2013-09-16
-0.05764999999999999,-0.55025,2013-09-17
0.5799,0.63755,2013-09-18
0.9561,0.3762,2013-09-19
0.5262,-0.42989999999999995,2013-09-20
0.9408,0.41459999999999997,2013-09-21
0.7438125,-0.19698749999999998,2013-09-22
0.546825,-0.19698749999999998,2013-09-23
0.3498375,-0.19698749999999998,2013-09-24
0.15284999999999999,-0.19698750000000004,2013-09-25
0.5661,0.41325000000000006,2013-09-26
0.61565,0.04954999999999998,2013-09-27
0.17945,-0.43620000000000003,2013-09-28
0.280625,0.10117500000000001,2013-09-29
0.3818,0.10117499999999996,2013-09-30
0.4199,0.03810000000000002,2013-10-01
0.665,0.24510000000000004,2013-10-02
-0.5931,-1.2581,2013-10-03
-0.5599,0.03320000000000001,2013-10-04
-0.5267,0.03320000000000001,2013-10-05
0.6908,1.2174999999999998,2013-10-06
0.957,0.2662,2013-10-07
0.1531,-0.8039,2013-10-08
-0.296,-0.4491,2013-10-09
0.6796,0.9756,2013-10-10
-0.4019,-1.0815,2013-10-11
-0.9483,-0.5464,2013-10-12
-0.8462,0.10210000000000008,2013-10-13
-0.007000000000000006,0.8392,2013-10-14
0.3804,0.3874,2013-10-15
0.9422,0.5618000000000001,2013-10-16
0.6588,-0.2834,2013-10-17
-0.3612,-1.02,2013-10-18
0.4019,0.7631,2013-10-19
0.6486,0.24669999999999997,2013-10-20
0.7783,0.12970000000000004,2013-10-21
0.48155,-0.29675,2013-10-22
0.1956,-0.28595,2013-10-23
0.7908,0.5952,2013-10-24
0.5542,-0.23659999999999992,2013-10-25
0.0,-0.5542,2013-10-26
0.5574,0.5574,2013-10-27
0.056150000000000005,-0.50125,2013-10-28
0.010974999999999999,-0.04517500000000001,2013-10-29
-0.0342,-0.045175,2013-10-30
0.0431625,0.0773625,2013-10-31
0.120525,0.0773625,2013-11-01
0.1978875,0.0773625,2013-11-02
0.27525,0.0773625,2013-11-03
0.3182,0.04294999999999999,2013-11-04
0.34735,0.02915000000000001,2013-11-05
0.4939,0.14655,2013-11-06
-0.7039,-1.1978,2013-11-07
0.63905,1.34295,2013-11-08
0.6808,0.041749999999999954,2013-11-09
-0.15899999999999997,-0.8397999999999999,2013-11-10
0.3535,0.5125,2013-11-11
0.4891,0.1356,2013-11-12
0.3275,-0.16159999999999997,2013-11-13
0.3411,0.013600000000000001,2013-11-14
0.4172,0.0761,2013-11-15
-0.13329999999999997,-0.5505,2013-11-16
0.010700000000000001,0.14399999999999996,2013-11-17
0.45555,0.44485,2013-11-18
0.4404,-0.015149999999999997,2013-11-19
0.5563,0.1159,2013-11-20
0.43015000000000003,-0.12614999999999998,2013-11-21
0.4019,-0.028250000000000053,2013-11-22
0.6322,0.2303,2013-11-23
0.4019,-0.2303,2013-11-24
0.4927,0.09080000000000005,2013-11-25
0.44984999999999997,-0.042850000000000055,2013-11-26
0.5017,0.05185000000000006,2013-11-27
0.3612,-0.1405,2013-11-28
0.48765000000000003,0.12645,2013-11-29
0.45855,-0.029100000000000015,2013-11-30
0.49345,0.03489999999999999,2013-12-01
0.4019,-0.09155000000000002,2013-12-02
0.4019,0.0,2013-12-03
0.4404,0.038500000000000034,2013-12-04
0.19615,-0.24425000000000002,2013-12-05
0.4215,0.22535,2013-12-06
0.4377,0.016199999999999992,2013-12-07
0.5048999999999999,0.06719999999999993,2013-12-08
0.4404,-0.06449999999999989,2013-12-09
0.4575,0.017100000000000004,2013-12-10
0.4304,-0.027100000000000013,2013-12-11
0.3612,-0.06919999999999998,2013-12-12
0.48465,0.12345,2013-12-13
0.4019,-0.08275000000000005,2013-12-14
0.37739999999999996,-0.024500000000000022,2013-12-15
0.4019,0.024500000000000022,2013-12-16
0.1531,-0.24879999999999997,2013-12-17
0.4019,0.24879999999999997,2013-12-18
0.2617,-0.1402,2013-12-19
0.518,0.25630000000000003,2013-12-20
0.4926,-0.025400000000000034,2013-12-21
0.4019,-0.0907,2013-12-22
0.34385,-0.05804999999999999,2013-12-23
0.4404,0.09655000000000002,2013-12-24
0.0803,-0.36010000000000003,2013-12-25
0.4404,0.36010000000000003,2013-12-26
0.5022500000000001,0.06185000000000007,2013-12-27
0.4019,-0.1003500000000001,2013-12-28
0.3693,-0.03259999999999996,2013-12-29
